"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\ACScreen.js", "JavaScript", 0, 15, 0, 7, 22
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\AboutScreen.js", "JavaScript", 0, 12, 0, 6, 18
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\BrakeScreen.js", "JavaScript", 0, 28, 0, 11, 39
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\CoolingScreen.js", "JavaScript", 0, 19, 0, 10, 29
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\DiffScreen.js", "JavaScript", 0, 18, 0, 11, 29
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\EngineScreen.js", "JavaScript", 0, 39, 0, 7, 46
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\GMScreen.js", "JavaScript", 0, 44, 1, 15, 60
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\HomeScreen.js", "JavaScript", 0, 106, 2, 21, 129
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\SuspensionScreen.js", "JavaScript", 0, 21, 0, 11, 32
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\TransScreen.js", "JavaScript", 0, 18, 0, 11, 29
"c:\Users\miste\Documents\Coding\home-listing-client-\src\screens\WheelsTiresScreen.js", "JavaScript", 0, 21, 0, 11, 32
"Total", "-", 18824, 2914, 62, 300, 22100
